id,name,xs,ys
2531,Subvoid,17,17
2532,Test,17,17
2533,Blight\'s area,24,12
2535,Southern Path,20,30
2536,Southern Fork,20,20
2537,Leviathan Mound,30,30
2538,Leviathan Fields,50,40
2539,Leviathan Hermit,30,30
2540,Hermit Home,13,12
2542,Worn path,20,20
2543,Worn trail,20,32
2544,Blight pen,24,24
2545,Gauntlet Entrance,12,12
2546,Crystal Fields,16,20
2547,Havok,16,20
2548,Malestrom,16,20
2549,Objective,17,18
2550,Gauntlet Entrance,12,12
2551,Crystal Fields,16,20
2552,Havok,16,20
2553,Malestrom,16,20
2554,Objective,17,18
2555,Gauntlet Entrance,12,12
2556,Crystal Fields,16,20
2557,Havok,16,20
2558,Malestrom,16,20
2559,Objective,17,18
2560,Gauntlet Entrance,12,12
2561,Crystal Fields,16,20
2562,Havok,16,20
2563,Malestrom,16,20
2564,Objective,17,18
2565,Gauntlet Entrance,12,12
2566,Crystal Fields,16,20
2567,Havok,16,20
2568,Malestrom,16,20
2569,Objective,17,18
2570,Prophets,28,28
2571,Prophet Yin,16,16
2572,Prophet Yang,16,16
2573,Prophet Void,16,16
3001,Monty Hall,12,20
3002,Bloodlust League Hall,13,18
3003,Ratty Hole,12,12
3004,Kugnae Adventure,33,33
3005,Kugnae Heroes,33,33
3006,Kugnae Glory,33,33
3007,Kugnae Legends,33,33
3008,Kugnae Ancients,33,33
3009,Arctic Arena,33,33
3010,Carnage Hall,33,33
3011,Bringer Arena,33,33
3012,Bloodlust Hall,28,31
3013,League Hall,12,12
3014,Elixir Arena,32,42
3015,Bloodlust Arena,33,33
3020,Mythic Rabbit,17,15
3021,Mythic Monkey,17,15
3022,Mythic Dog,17,15
3023,Mythic Rooster,17,15
3024,Mythic Horse,17,15
3025,Mythic Rat,17,15
3026,Mythic Ox,17,15
3027,Mythic Pig,17,15
3028,Mythic Snake,17,15
3029,Mythic Sheep,17,15
3030,Mythic Tiger,17,15
3031,Mythic Dragon,17,15
3040,Northeast Koguryo,36,22
3041,Chonsa Den,10,10
3051,Judge\'s Chambers,20,20
3052,Test,12,12
3053,Test,12,12
3054,Test,20,20
3055,Test,20,20
3056,Test,20,20
3057,Test,20,20
3100,Restless Cage 2,32,32
3101,Tiger Pelt 2,30,30
3102,Undergrowth 2,30,30
3103,Jungle Prowl 2,30,30
3104,Tiger Stretch 2,30,30
3105,Tiger\'s Revenge 2,30,31
3106,Dark Stripes 2,30,30
3107,Declawed 2,30,30
3108,Pounce 2,30,30
3109,Dark Pen 2,30,30
3110,Tiger Guardroom 2,30,30
3151,Rat Trap 2,30,20
3152,Pestilence 2,20,20
3153,Night Watchmen 2,28,30
3154,Rat Ear 2,20,20
3155,Rat Eyes 2,30,28
3156,Gnash 2,28,28
3157,Gnaw 2,30,30
3158,Plague 2,30,30
3159,Nibble 2,30,30
3160,Monkey Curl 2,24,24
3161,Monkey Crest 2,28,24
3162,Monkey Swamp 2,28,30
3163,Monkey Flow 2,30,30
3164,Monkey Dance 2,20,30
3165,Monkey Mountain 2,30,28
3166,Monkey Blood 2,26,28
3167,Monkey Wasteland 2*,28,28
3168,Monkey Divide 2*,30,30
3169,Monkey Barracks 2,30,30
3170,Red Bull 2,30,30
3171,Rice Fields 2,30,30
3172,Oxen Pull 2,30,30
3173,Deep Furrow 2,30,30
3174,Dry Plantings 2,30,30
3175,Bull\'s Song 2,30,30
3176,Ox Fury 2,30,30
3177,Sunset 2*,24,30
3178,Ox Path 2*,30,27
3179,Bull\'s Fury 2,24,30
3180,Ox Pasture 2,28,28
3181,Pig Path 2,30,30
3182,Mudbath 2,30,30
3183,Mud Fields 2,20,20
3184,Fire Clove 2,20,30
3185,Pig Mound 2,20,20
3186,Grub Hunt 2*,30,30
3187,Clove Hill 2*,28,28
3188,Pig\'s Snout 2,24,24
3189,Boar Rise 2,28,28
3190,Boar Fields 2*,30,30
3191,Dog Prowl 2,28,30
3192,Run 2*,30,20
3193,Mongrel Snack 2,24,24
3194,Mongrel Gateway 2*,24,24
3195,Dog\'s Bite 2,30,30
3196,Alarm 2,15,40
3197,Rabid Mongrel 2,30,24
3198,Chaser 2,24,24
3199,Gnawed Bones 2*,24,24
3200,Drool 2,20,20
3201,Mythic Waters 2,24,24
3202,Golden Warren 2,25,25
3203,*Rabbit Hole 2*,26,26
3204,Rabbit Leap 2,20,60
3205,*Foraged Fields 2*,30,39
3206,Hare Depression 2,30,30
3207,Mythic Owsla 2,20,20
3208,*Hare Summit 2*,20,40
3210,Stained Isle 2,30,30
3211,Fox\'s Paradise 2,20,20
3212,Peck 2*,25,25
3213,Rooster Rows 2,30,30
3214,Swarmed Steps 2,20,60
3215,Rooster Terraces 2,30,30
3216,Chicken Conquest 2*,23,23
3217,Rooster Gateway 2,20,20
3218,Angry Roost 2*,20,70
3231,Venom\'s Bite 2,20,20
3232,Fang 2,20,30
3233,Snake Sleep 2*,30,30
3234,Sidewinder 2,30,28
3235,Slither Patch 2,20,20
3236,Snake Fields 2*,30,30
3237,Final Rest 2*,20,20
3238,Molten Viper 2,20,30
3239,Conscience\'s Bite 2,10,30
3240,Muddy Pasture 2,30,40
3241,Prancing Path 2,28,20
3242,Horse Valley 2,18,36
3243,Island of Light 2*,20,30
3244,Horse Passage 2,20,30
3245,Clovers 2*,20,20
3246,Dirt Fields 2,16,30
3247,Hooved Sands 2*,40,40
3248,Horse Stand 2,20,20
3250,Hatchery 2,20,30
3251,Hot Beds 2,38,20
3252,Dragon Maze 2,20,40
3253,Dragon Death 2*,20,30
3254,Dragon\'s Gold 2*,20,30
3255,Scales 2,20,40
3256,Dragon\'s Mist 2,20,20
3257,Dragon\'s Breath 2,20,20
3258,Jeweled Dragon 2*,18,36
3333,Slave Pits,17,21
3334,Crossroads,30,24
3335,Shangri-la,25,16
3336,Divine Judgment,20,20
3400,Pond\'s Library,31,16
3401,Inner Library,8,8
3402,Center Cellar,20,20
3410,Map 3410,15,15
3411,Map 3411,15,15
3470,Sheep Chasm 2,20,20
3471,Good Grazing 2,20,20
3472,Woolen Squeeze 2,10,30
3473,Blood Wool 2,40,20
3474,Spinning 2,20,20
3475,Sheep Patrol 2,20,20
3476,Ewe Haven 2,15,28
3477,Ram 2,20,20
3478,Sheep Sacrifice 2,20,20
3479,Sheep Stronghold 2,15,17
3480,Green Pass 2,20,40
3481,Sheep Bridge 2,20,20
3482,Shadow Grove 2*,20,20
3483,Shepherd\'s Crook 2,20,20
3484,Shepherd\'s Nook 2*,15,17
3500,Jury\'s Room,12,12
3501,Final Judgement,20,20
3502,Kugnae Palace\'s Prison,12,12
3510,Barbarian Circle,23,23
3511,Barbarian Guide,23,23
3512,Barbarian Cave,7,7
3515,Spy Circle,23,23
3516,Spy Guide,23,23
3517,Interrogation chambers,7,7
3520,Merchant Circle,23,23
3521,Merchant Guide,23,23
3522,Kubera Shrine,7,7
3525,Monk Circle,23,23
3526,Monk Guide,23,23
3527,Tomes of the Ages,7,7
3530,Shaman Circle,23,23
3531,Shaman Guide,23,23
3532,Soul Haven,7,7
3535,Diviner Circle,23,23
3536,Diviner Guide,23,23
3537,Tai Chi,7,7
3539,Elders\' Haven,21,21
3540,Tao Te Ching,9,9
3541,Fairland,9,9
3542,Circus,9,9
3543,Grand Circus Tent,9,9
3544,Immortals Niche,9,9
3545,Map 3545,9,9
3546,Map 3546,9,9
3547,Map 3547,9,9
3548,Map 3548,9,9
3549,Map 3549,9,9
3550,Map 3550,9,9
3551,Map 3551,9,9
3560,Map 3560,11,14
3561,Map 3561,11,14
3562,Map 3562,11,14
3563,Map 3563,11,14
3564,Map 3564,11,14
3565,Map 3565,11,14
3571,Map 3571,12,18
3572,Map 3572,12,18
3600,Map 3600,15,15
3601,Map 3601,15,15
3605,Do Circle,23,23
3606,Do Guide,23,23
3607,Spiritual Garden,7,7
3610,Chongun Circle,23,23
3611,Chongun Guide,23,23
3612,Chongun Kitchen,7,7
3615,Ranger Circle,23,23
3616,Ranger Guide,23,23
3617,Angel\'s Hideaway,7,7
3620,Geomancer Circle,23,23
3621,Geomancer Guide,23,23
3622,Circle of Creation,7,7
3625,Muse Circle,23,23
3626,Muse Guide,23,23
3627,Poetic Justice,7,7
3630,Druid Circle,23,23
3631,Druid Guide,23,23
3632,Sacred Grove,7,7
3640,The Road Not Taken,9,9
3641,Lotus Dojo,9,9
3642,Open Monk,9,9
3643,Master Kyun\'s Enclave,9,9
3644,Open Monk,9,9
3645,Map 3645,9,9
3646,Map 3646,9,9
3647,Map 3647,9,9
3661,Mystic Garden,11,14
3662,Cluichi,11,14
3663,Open Druid,14,11
3671,Map 3671,12,18
3681,Stable Entrance,18,18
3682,Buyan Stables,36,18
3683,Janath Hall,30,20
3684,Wanar Hall,21,21
3685,Kentao Hall,29,29
3686,Mankal Hall,25,25
3687,Ice Arena,30,20
3688,East Hall,25,25
3689,South Hall,25,25
3690,West Hall,31,31
3691,Chung Ryong Hall,25,25
3692,Baekho Hall,25,25
3693,Ju Jak Hall,25,25
3694,Stronghold Arena,25,25
3701,Kugnae Warrior\'s Hall,16,16
3702,Kugnae Rogue\'s Hall,16,16
3703,Kugnae Mage\'s Hall,16,16
3704,Kugnae Poet\'s Hall,16,16
3705,Buya Warrior\'s Hall,16,16
3706,Buya Rogue\'s Hall,16,16
3707,Buya Mage\'s Halll,16,16
3708,Buya Poet\'s Hall,16,16
3800,KaMing\'s Encampment,64,64
3801,Sya\'s Shop,12,12
3802,Sying\'s Shop,12,12
3803,Gan\'s Shop,12,12
3804,Lien\'s Shop,12,12
3805,Blood\'s Home,12,12
3806,KaMing,12,12
3811,Arctic Village,72,72
3812,Arctic Tavern,24,14
3813,Othotsk Blacksmith,16,16
3814,Taimyr Butcher,12,12
3815,Crystalline Chapel,26,40
3816,Kamchatka Ballroom,32,36
3817,Laptev Crafter,12,12
3818,Yakutsk Oracle,16,16
3819,Lovers\' Lake,30,40
3825,Kwi-Sin Dagger,64,64
3826,Ming-Ken Dagger,64,64
3827,Ohaeng Dagger,64,64
3828,Wand,64,64
3829,Kwi-Sin Wand,64,64
3830,Ming-Ken Wand,64,64
3831,Ohaeng Wand,64,64
3835,Ohaeng Staff,100,100
3836,Sa San\'s Haven,125,80
3837,Warrior\'s Rage,100,100
3838,Rogue\'s Strike,100,100
3910,Heavens Clan,30,20
3911,Heavens Hall,31,31
3912,Heavens Arena,40,40
3913,Heavens Servant,15,15
3914,Heavens Shop,15,15
3915,Heavens Secret,10,10
3916,Heavens Primogen,15,15
3917,Heavens G\'oh,21,21
3918,Paradise,25,25
3920,Sun Moon Clan,30,20
3921,Sun Moon Hall,32,32
3922,Sun Moon Arena,35,35
3923,Sun Moon Primogen,18,18
3924,Sun Moon Shop,20,18
3925,Sun Moon Meeting Hall,20,18
3926,Sun Moon Rocks,16,25
3927,Sky Lounge,40,20
3930,Bear Clan,30,20
3931,Bear Hall,31,31
3932,Bear Arena,35,35
3933,Bear Primogen,15,15
3934,Bear Shop,15,15
3935,Bear Den,14,15
3936,Echo\'s Refuge,15,15
3940,Phoenix Clan Garden,30,20
3941,Phoenix Hall,30,30
3942,Phoenix Arena,30,20
3943,Phoenix Primogen,15,15
3944,Phoenix Council Room,15,15
3950,Enigma Clan,30,20
3951,Enigma Hall,31,31
3953,Enigma Primogen,15,15
3954,Enigma Treasury,10,10
3960,Lost Kingdom Clan,30,20
3961,Lost Kingdom Hall,33,35
3962,Lost Kingdom Arena,38,30
3963,Lost Kingdom Primogen,19,20
3964,Crafting Chambers,15,15
3965,Lost Springs,10,10
3966,Sentra\'s Gardens,58,26
3970,Dharma Clan,29,30
3971,Dharma,32,32
3973,Dharma Primogen,16,16
3974,Dharma Council Chambers,10,10
3975,Dharma Marketplace,20,15
4000,Archon Antichamber,16,16
4001,Clan/Royal Archon\'s Office,12,14
4002,Carnage test,16,16
4003,Test,16,16
4004,Wony\'s Office,20,20
4005,Neul\'s Office,16,16
4006,Primogen\'s Haven,21,21
4007,Kinung\'s Haven,21,21
4008,Poetic Enchantment,15,15
4010,Temple of Oceana,36,48
4100,Restless Cage 3,32,32
4101,Tiger Pelt 3,30,30
4102,Undergrowth 3,30,30
4103,Jungle Prowl 3,30,30
4104,Tiger Stretch 3,30,30
4105,Tiger\'s Revenge 3,30,31
4106,Dark Stripes 3,30,30
4107,Declawed 3,30,30
4108,Pounce 3,30,30
4109,Dark Pen 3,30,30
4110,Tiger Guardroom 3,30,30
4151,Rat Trap 3,30,20
4152,Pestilence 3,20,20
4153,Night Watchmen 3,28,30
4154,Rat Ear 3,20,20
4155,Rat Eyes 3,30,28
4156,Gnash 3,28,28
4157,Gnaw 3,30,30
4158,Plague 3,30,30
4159,Nibble 3,30,30
4160,Monkey Curl 3,24,24
4161,Monkey Crest 3,28,24
4162,Monkey Swamp 3,28,30
4163,Monkey Flow 3,30,30
4164,Monkey Dance 3,20,30
4165,Monkey Mountain 3,30,28
4166,Monkey Blood 3,26,28
4167,Monkey Wasteland 3*,28,28
4168,Monkey Divide 3*,30,30
4169,Monkey Barracks 3,30,30
4170,Red Bull 3,30,30
4171,Rice Fields 3,30,30
4172,Oxen Pull 3,30,30
4173,Deep Furrow 3,30,30
4174,Dry Plantings 3,30,30
4175,Bull\'s Song 3,30,30
4176,Ox Fury 3,30,30
4177,Sunset 3*,24,30
4178,Ox Path 3*,30,27
4179,Bull\'s Fury 3,24,30
4180,Ox Pasture 3,28,28
4181,Pig Path 3,30,30
4182,Mudbath 3,30,30
4183,Mud Fields 3,20,20
4184,Fire Clove 3,20,30
4185,Pig Mound 3,20,20
4186,Grub Hunt 3*,30,30
4187,Clove Hill 3*,28,28
4188,Pig\'s Snout 3,24,24
4189,Boar Rise 3,28,28
4190,Boar Fields 3*,30,30
4191,Dog Prowl 3,28,30
4192,Run 3*,30,20
4193,Mongrel Snack 3,24,24
4194,Mongrel Gateway 3*,24,24
4195,Dog\'s Bite 3,30,30
4196,Alarm 3,15,40
4197,Rabid Mongrel 3,30,24
4198,Chaser 3,24,24
4199,Gnawed Bones 3*,24,24
4200,Drool 3,20,20
4201,Mythic Waters 3,24,24
4202,Golden Warren 3,25,25
4203,*Rabbit Hole 3*,26,26
4204,Rabbit Leap 3,20,60
4205,*Foraged Fields 3*,30,39
4206,Hare Depression 3,30,30
4207,Mythic Owsla 3,20,20
4208,*Hare Summit 3*,20,40
4210,Stained Isle 3,30,30
4211,Fox\'s Paradise 3,20,20
4212,Peck 3*,25,25
4213,Rooster Rows 3,30,30
4214,Swarmed Steps 3,20,60
4215,Rooster Terraces 3,30,30
4216,Chicken Conquest 3*,23,23
4217,Rooster Gateway 3,20,20
4218,Angry Roost 3*,20,70
4231,Venom\'s Bite 3,20,20
4232,Fang 3,20,30
4233,Snake Sleep 3*,30,30
4234,Sidewinder 3,30,28
4235,Slither Patch 3,20,20
4236,Snake Fields 3*,30,30
4237,Final Rest 3*,20,20
4238,Molten Viper 3,20,30
4239,Conscience\'s Bite 3,10,30
4240,Muddy Pasture 3,30,40
4241,Prancing Path 3,28,20
4242,Horse Valley 3,18,36
4243,Island of Light 3*,20,30
4244,Horse Passage 3,20,30
4245,Clovers 3*,20,20
4246,Dirt Fields 3,16,30
4247,Hooved Sands 3*,40,40
4248,Horse Stand 3,20,20
4250,Hatchery 3,20,30
4251,Hot Beds 3,38,20
4252,Dragon Maze 3,20,40
4253,Dragon Death 3*,20,30
4254,Dragon\'s Gold 3*,20,30
4255,Scales 3,20,40
4256,Dragon\'s Mist 3,20,20
4257,Dragon\'s Breath 3,20,20
4258,Jeweled Dragon 3*,18,36
4444,Map 4444,30,30
4470,Sheep Chasm 3,20,20
4471,Good Grazing 3,20,20
4472,Woolen Squeeze 3,10,30
4473,Blood Wool 3,40,20
4474,Spinning 3,20,20
4475,Sheep Patrol 3,20,20
4476,Ewe Haven 3,15,28
4477,Ram 3,20,20
4478,Sheep Sacrifice 3,20,20
4479,Sheep Stronghold 3,15,17
4480,Green Pass 3,20,40
4481,Sheep Bridge 3,20,20
4482,Shadow Grove 3*,20,20
4483,Shepherd\'s Crook 3,20,20
4484,Shepherd\'s Nook 3*,15,17
4500,Kugnae Market Entry,8,6
4501,Kugnae Marketplace,48,44
4503,Koguryo Tribunal Hall,22,25
4504,Koguryo Palace Courtyard,30,30
4505,Royal Palace Mezzanine,14,15
4506,Koguryo Throne Room,30,30
4507,Kugnae Theater,30,30
4508,Koguryo Royal Court,12,12
4509,Koguryo Royal Ministry,12,12
4510,KRA Training Area,32,42
4511,Mhul\'s Chambers,12,10
4513,Kugnae Palace Baths,40,30
4514,Royal Palace Stairway,16,16
4515,Royal Army Barracks,16,16
4525,Backstage Event,16,16
4600,Buya Market Entry,8,6
4601,Buya Marketplace,48,44
4603,Buya Tribunal Hall,24,24
4604,Buya Courtyard,31,31
4606,Buya Throne Room,22,40
4608,Imperial Ministry,12,12
4609,Buya Royal Court,12,12
4610,Buya Training Hall,32,42
4611,Lasahn\'s Chambers,12,10
4612,Imperial Promenade,8,10
4613,Secret Garden,48,48
4614,Map 4614,16,16
4615,Buya Imperial Army,16,16
4701,Museum,40,30
4702,Main Gallery,26,28
4703,The Mighty Totems,20,22
4704,Nexus Wildlife,24,24
4705,Shipwreck Shore,25,16
4706,Conflicts through time,20,20
4707,Continuing Conflicts,16,20
4708,The Shattering,24,24
4709,Caretaker\'s room,16,20
4711,Welcome,16,16
4712,Open Field,20,20
4713,Forest Path,20,20
4714,Deep Forest,30,30
4715,Country Farm,24,18
4716,Mignok\'s Home,14,16
4717,City Limits,31,26
4718,Angel\'s Blessing,21,20
4901,First Gen Sanctum,15,15
4902,Second Gen Sanctum,15,15
4903,Third Gen Sanctum,15,15
4904,Fourth Gen Sanctum,15,15
4905,Fifth Gen Sanctum,15,15
4906,Sixth Gen Sanctum,15,15
4907,Seventh Gen Sanctum,15,15
4908,Eighth Gen Sanctum,15,15
4909,Ninth Gen Sanctum,15,15
4910,Tenth Gen Sanctum,15,15
4911,Eleventh Gen Sanctum,15,15
4912,Twelth Gen Sanctum,15,15
4913,Thirteenth Gen Sanctum,15,15
4914,Fourteenth Gen Sanctum,15,15
4915,Fifteenth Gen Sanctum,15,15
4916,Sixteenth Gen Sanctum,25,9
4917,Seventeenth Gen Sanctum,15,15
4918,Eighteenth Gen Sanctum,15,15
4920,First Check\'s Realm,15,15
4921,Second Check\'s Realm,15,15
4922,Third Check\'s Realm,15,15
4923,Fourth Check\'s Realm,15,15
4924,Fifth Check\'s Realm,15,15
4925,Kugnae Gen Sanctum,15,15
4926,Buya Gen Sanctum,15,15
4927,Mythic Gen Sanctum,15,15
4928,Divine Gen Sanctum,15,15
4929,Spirit Gen Sanctum,15,15
4930,Vale Gen Sanctum,15,15
4931,Wilderness Gen Sanctum,15,15
4932,Nagnang Check Sanctum,15,15
4933,Nagnang Gen Sanctum,15,15
4951,Map 4951,103,200
5999,Forsaken Clan,10,10
6300,Desert,40,40
6301,Desert,20,20
6302,Desert,30,30
6303,Desert,70,40
6304,Desert,50,40
6305,Desert,100,60
6306,Desert,16,16
6307,Desert,40,32
6308,Desert,50,32
6309,Desert,30,30
6310,Desert,40,32
6311,Desert,50,32
6312,Desert,50,32
6313,Desert,30,30
6314,Desert,30,30
6315,Desert,10,100
6316,Desert,45,20
6317,Desert,45,20
6318,Desert,45,20
6319,Desert,45,20
6320,Desert,45,20
6321,Desert,24,24
6322,Desert,45,20
6323,Desert,45,20
6324,Desert,30,18
6325,Desert,45,20
6326,Desert,45,20
6327,Desert,50,27
6328,Desert,60,32
6329,Desert,50,32
6330,Desert,50,27
6331,Desert,60,32
6332,Desert,50,27
6333,Desert,45,20
6334,Desert,75,40
6335,Desert,20,20
6336,Desert,16,16
6340,Desert,50,32
6341,Desert,20,20
6342,Desert,30,30
6343,Desert,50,56
6344,Desert,40,50
6345,Desert,75,80
6346,Desert,16,16
6347,Desert,32,40
6348,Desert,40,40
6349,Desert,30,30
6350,Desert,32,40
6351,Desert,40,40
6352,Desert,40,40
6353,Desert,30,30
6354,Desert,30,30
6355,Desert,10,100
6356,Desert,45,20
6357,Desert,45,20
6358,Desert,45,20
6359,Desert,45,20
6360,Desert,45,20
6361,Desert,24,24
6362,Desert,45,20
6363,Desert,45,20
6364,Desert,30,18
6365,Desert,45,20
6366,Desert,45,20
6367,Desert,50,27
6368,Desert,60,32
6369,Desert,50,32
6370,Desert,50,27
6371,Desert,60,32
6372,Desert,50,27
6373,Desert,45,20
6374,Desert,75,40
6375,Desert,20,20
6376,Desert,16,16
6380,Desert,50,32
6381,Desert,20,20
6382,Desert,30,30
6383,Desert,70,40
6384,Desert,50,40
6385,Desert,100,60
6386,Desert,16,16
6387,Desert,40,32
6388,Desert,50,32
6389,Desert,30,30
6390,Desert,40,32
6391,Desert,50,32
6392,Desert,50,32
6393,Desert,45,20
6394,Desert,45,20
6395,Desert,40,25
6396,Desert,45,20
6397,Desert,45,20
6398,Desert,45,20
6399,Desert,30,30
6400,Gypsy Camp,30,30
6401,Gypsy Tent,24,24
6402,Desert Cave,30,30
6403,Desert Cave,30,30
6404,Desert Cave,20,27
6405,Desert Cave,45,20
6406,Desert Cave,30,30
6407,Desert Cave,50,27
6408,Desert Cave,60,32
6409,Desert Cave,40,40
6410,Desert Cave,30,45
6411,Guol Well,40,48
6412,Western Forest,25,54
6413,North Camp,36,25
6414,Guards tent,50,60
6415,Generals camp,25,16
6416,Generals tent,16,16
6420,Generals tent,40,40
6421,Generals tent,20,20
6422,Generals tent,30,30
6423,Generals tent,50,56
6424,Generals tent,40,50
6425,Generals tent,75,80
6426,Generals tent,16,16
6427,Ogre kitchen,40,32
6428,Ogre hall,40,40
6429,Slave pen,30,30
6430,Slave training area,40,32
6431,South camp,50,32
6432,Slave quarters,50,32
6433,Prison,30,30
6434,Cells,50,18
6435,Mess hall,10,100
6436,Ogre scribe,30,30
6437,Ogre tailor,30,30
6438,Ogre weaponry,30,30
6439,Ogre smith,30,30
6440,Ogre store,30,30
6441,Ogre clinic,24,24
6442,Ogre stable,30,30
6443,Officers mess,30,30
6444,Officers quarters,20,27
6445,Barracks,30,30
6446,Barracks,30,30
6447,Barracks,30,45
6448,Barracks,40,48
6449,Barracks,40,40
6450,Battle field,30,45
6451,Great stairs,20,96
6452,Temple clearing,30,45
6453,Lovers hut,30,30
6454,Shrine of Fire,50,60
6455,Shrine of Ice,20,20
6456,Temple,16,16
6460,Temple,40,40
6461,Temple,20,20
6462,Temple,30,30
6463,Temple,50,56
6464,Temple,40,50
6465,Temple,75,80
6466,Temple,16,16
6467,Temple,32,40
6468,Temple,40,40
6469,Temple,30,30
6470,Temple,32,40
6471,Temple,40,40
6472,Temple,40,40
6473,Temple,30,30
6474,Temple,30,30
6475,Temple,10,100
6476,Temple,30,30
6477,Temple,30,30
6478,Temple,30,30
6479,Temple,30,30
6480,Temple,30,30
6481,Temple,24,24
6482,Temple,30,30
6483,Temple,30,30
6484,Temple,20,27
6485,Temple,30,30
6486,Map 6486,30,30
6487,Map 6487,30,45
6488,Map 6488,40,48
6489,Map 6489,40,40
6490,Map 6490,30,45
6491,Map 6491,40,48
6492,Map 6492,30,45
6493,Map 6493,30,30
6494,Map 6494,50,60
6495,Map 6495,20,20
6496,Map 6496,16,16
6502,Buya Library Caverns,30,30
6503,Buya Library Caverns,30,28
6504,Buya Library Caverns,24,36
6505,Buya Library Caverns,30,28
6506,Buya Library Caverns,24,30
6507,Buya Library Caverns,30,30
6508,Buya Library Caverns,30,30
6509,Buya Library Caverns,30,30
6510,Buya Library Caverns,30,30
6511,Buya Library Caverns,28,28
6512,Buya Library Caverns,18,18
6513,Buya Library Caverns,30,30
6514,Buya Library Caverns,30,30
6515,Buya Library Caverns,32,32
6516,Buya Library Caverns,30,30
6517,Buya Library Caverns,30,30
6518,Buya Library Caverns,30,30
6519,Buya Library Caverns,20,45
6522,Buya Library Caverns,30,30
6523,Buya Library Caverns,30,28
6524,Buya Library Caverns,24,36
6525,Buya Library Caverns,30,28
6526,Buya Library Caverns,24,30
6527,Buya Library Caverns,30,30
6528,Buya Library Caverns,30,30
6529,Buya Library Caverns,30,30
6530,Buya Library Caverns,30,30
6531,Buya Library Caverns,28,28
6532,Buya Library Caverns,18,18
6533,Buya Library Caverns,30,30
6534,Buya Library Caverns,30,30
6535,Buya Library Caverns,32,32
6536,Buya Library Caverns,30,30
6537,Buya Library Caverns,30,30
6538,Buya Library Caverns,30,30
6539,Buya Library Caverns,20,45
6542,Buya Library Caverns,30,30
6543,Buya Library Caverns,30,28
6544,Buya Library Caverns,24,36
6545,Buya Library Caverns,30,28
6546,Buya Library Caverns,24,30
6547,Buya Library Caverns,30,30
6548,Buya Library Caverns,30,30
6549,Buya Library Caverns,30,30
6550,Buya Library Caverns,30,30
6551,Buya Library Caverns,28,28
6552,Buya Library Caverns,18,18
6553,Buya Library Caverns,30,30
6554,Buya Library Caverns,30,30
6555,Buya Library Caverns,32,32
6556,Buya Library Caverns,30,30
6557,Buya Library Caverns,30,30
6558,Buya Library Caverns,30,30
6559,Buya Library Caverns,20,45
6562,Buya Library Caverns,30,30
6563,Buya Library Caverns,30,28
6564,Buya Library Caverns,24,36
6565,Buya Library Caverns,30,28
6566,Buya Library Caverns,24,30
6567,Buya Library Caverns,30,30
6568,Buya Library Caverns,30,30
6569,Buya Library Caverns,30,30
6570,Buya Library Caverns,30,30
6571,Buya Library Caverns,28,28
6572,Buya Library Caverns,18,18
6573,Buya Library Caverns,30,30
6574,Buya Library Caverns,30,30
6575,Buya Library Caverns,32,32
6576,Buya Library Caverns,30,30
6577,Buya Library Caverns,30,30
6578,Buya Library Caverns,30,30
6579,Buya Library Caverns,20,45
6582,Buya Library Caverns,30,30
6583,Buya Library Caverns,30,28
6584,Buya Library Caverns,24,36
6585,Buya Library Caverns,30,28
6586,Buya Library Caverns,24,30
6587,Buya Library Caverns,30,30
6588,Buya Library Caverns,30,30
6589,Buya Library Caverns,30,30
6590,Buya Library Caverns,30,30
6591,Buya Library Caverns,28,28
6592,Buya Library Caverns,18,18
6593,Buya Library Caverns,30,30
6594,Buya Library Caverns,30,30
6595,Buya Library Caverns,32,32
6596,Buya Library Caverns,30,30
6597,Buya Library Caverns,30,30
6598,Buya Library Caverns,30,30
6599,Buya Library Caverns,20,45
